dataset,partition,label,count,proportion
CIC17,fold_1_train,6,3446,0.002135979981541067
CIC17,fold_1_train,7,3346,0.0020739956524191555
CIC17,fold_1_train,8,2060,0.001276877179911375
CIC17,fold_1_train,9,1246,0.0007723247408590161
CIC17,fold_1_train,10,941,0.0005832725370371862
CIC17,fold_1_train,11,418,0.00025909449572958967
CIC17,fold_1_train,12,23,1.4256395698039622e-05
CIC17,fold_1_train,13,14,8.677806077067596e-06
CIC17,fold_1_train,14,7,4.338903038533798e-06
CIC17,fold_1_val,0,335210,0.8311101634401777
CIC17,fold_1_val,1,27655,0.06856702237384957
CIC17,fold_1_val,2,20482,0.05078248968581403
CIC17,fold_1_val,3,14511,0.0359781616947001
CIC17,fold_1_val,4,1646,0.004081045699777849
CIC17,fold_1_val,5,949,0.002352923675023802
CIC17,fold_1_val,6,862,0.002137218343383053
CIC17,fold_1_val,7,836,0.0020727546810536336
CIC17,fold_1_val,8,515,0.0012768763884481117
CIC17,fold_1_val,9,312,0.0007735639479530307
CIC17,fold_1_val,10,235,0.0005826523325928276
CIC17,fold_1_val,11,104,0.00025785464931767695
CIC17,fold_1_val,12,6,1.4876229768327516e-05
CIC17,fold_1_val,13,3,7.438114884163758e-06
CIC17,fold_1_val,14,2,4.958743256109171e-06
CIC17,fold_2_train,0,1340837,0.8311088190683631
CIC17,fold_2_train,1,110621,0.0685676847179496
CIC17,fold_2_train,2,81929,0.05078314100629079
CIC17,fold_2_train,3,58044,0.03597818399552225
CIC17,fold_2_train,4,6583,0.004080428386095427
CIC17,fold_2_train,5,3796,0.002352925133467757
CIC17,fold_2_train,6,3446,0.002135979981541067
CIC17,fold_2_train,7,3346,0.0020739956524191555
CIC17,fold_2_train,8,2060,0.001276877179911375
CIC17,fold_2_train,9,1246,0.0007723247408590161
CIC17,fold_2_train,10,941,0.0005832725370371862
CIC17,fold_2_train,11,418,0.00025909449572958967
CIC17,fold_2_train,12,23,1.4256395698039622e-05
CIC17,fold_2_train,13,14,8.677806077067596e-06
CIC17,fold_2_train,14,7,4.338903038533798e-06
CIC17,fold_2_val,0,335209,0.8311076840685496
CIC17,fold_2_val,1,27656,0.06856950174547763
CIC17,fold_2_val,2,20482,0.05078248968581403
CIC17,fold_2_val,3,14511,0.0359781616947001
CIC17,fold_2_val,4,1646,0.004081045699777849
CIC17,fold_2_val,5,949,0.002352923675023802
CIC17,fold_2_val,6,862,0.002137218343383053
CIC17,fold_2_val,7,836,0.0020727546810536336
CIC17,fold_2_val,8,515,0.0012768763884481117
CIC17,fold_2_val,9,312,0.0007735639479530307
CIC17,fold_2_val,10,235,0.0005826523325928276
CIC17,fold_2_val,11,104,0.00025785464931767695
CIC17,fold_2_val,12,6,1.4876229768327516e-05
CIC17,fold_2_val,13,3,7.438114884163758e-06
CIC17,fold_2_val,14,2,4.958743256109171e-06
CIC17,fold_3_train,0,1340837,0.8311088190683631
CIC17,fold_3_train,1,110621,0.0685676847179496
CIC17,fold_3_train,2,81929,0.05078314100629079
CIC17,fold_3_train,3,58044,0.03597818399552225
CIC17,fold_3_train,4,6583,0.004080428386095427
CIC17,fold_3_train,5,3796,0.002352925133467757
CIC17,fold_3_train,6,3447,0.002136599824832286
CIC17,fold_3_train,7,3345,0.0020733758091279362
CIC17,fold_3_train,8,2060,0.001276877179911375
CIC17,fold_3_train,9,1247,0.0007729445841502351
CIC17,fold_3_train,10,941,0.0005832725370371862
CIC17,fold_3_train,11,417,0.00025847465243837055
CIC17,fold_3_train,12,24,1.4876238989258736e-05
CIC17,fold_3_train,13,13,8.057962785848482e-06
CIC17,fold_3_train,14,7,4.338903038533798e-06
CIC17,fold_3_val,0,335209,0.8311076840685496
CIC17,fold_3_val,1,27656,0.06856950174547763
CIC17,fold_3_val,2,20482,0.05078248968581403
CIC17,fold_3_val,3,14511,0.0359781616947001
CIC17,fold_3_val,4,1646,0.004081045699777849
CIC17,fold_3_val,5,949,0.002352923675023802
CIC17,fold_3_val,6,861,0.0021347389717549983
CIC17,fold_3_val,7,837,0.0020752340526816885
CIC17,fold_3_val,8,515,0.0012768763884481117
CIC17,fold_3_val,9,311,0.0007710845763249762
CIC17,fold_3_val,10,235,0.0005826523325928276
CIC17,fold_3_val,11,105,0.0002603340209457315
CIC17,fold_3_val,12,5,1.2396858140272928e-05
CIC17,fold_3_val,13,4,9.917486512218343e-06
CIC17,fold_3_val,14,2,4.958743256109171e-06
CIC17,fold_4_train,0,1340837,0.8311088190683631
CIC17,fold_4_train,1,110622,0.06856830456124083
CIC17,fold_4_train,2,81928,0.05078252116299957
CIC17,fold_4_train,3,58044,0.03597818399552225
CIC17,fold_4_train,4,6584,0.004081048229386646
CIC17,fold_4_train,5,3796,0.002352925133467757
CIC17,fold_4_train,6,3447,0.002136599824832286
CIC17,fold_4_train,7,3345,0.0020733758091279362
CIC17,fold_4_train,8,2060,0.001276877179911375
CIC17,fold_4_train,9,1247,0.0007729445841502351
CIC17,fold_4_train,10,940,0.0005826526937459672
CIC17,fold_4_train,11,417,0.00025847465243837055
CIC17,fold_4_train,12,23,1.4256395698039622e-05
CIC17,fold_4_train,13,13,8.057962785848482e-06
CIC17,fold_4_train,14,8,4.958746329752912e-06
CIC17,fold_4_val,0,335209,0.8311076840685496
CIC17,fold_4_val,1,27655,0.06856702237384957
CIC17,fold_4_val,2,20483,0.050784969057442085
CIC17,fold_4_val,3,14511,0.0359781616947001
CIC17,fold_4_val,4,1645,0.004078566328149793
CIC17,fold_4_val,5,949,0.002352923675023802
CIC17,fold_4_val,6,861,0.0021347389717549983
CIC17,fold_4_val,7,837,0.0020752340526816885
CIC17,fold_4_val,8,515,0.0012768763884481117
CIC17,fold_4_val,9,311,0.0007710845763249762
CIC17,fold_4_val,10,236,0.0005851317042208823
CIC17,fold_4_val,11,105,0.0002603340209457315
CIC17,fold_4_val,12,6,1.4876229768327516e-05
CIC17,fold_4_val,13,4,9.917486512218343e-06
CIC17,fold_4_val,14,1,2.4793716280545857e-06
CIC17,fold_5_train,0,1340837,0.8311083039114566
CIC17,fold_5_train,1,110622,0.0685682620596636
CIC17,fold_5_train,2,81929,0.05078310952872104
CIC17,fold_5_train,3,58044,0.0359781616947001
CIC17,fold_5_train,4,6583,0.004080425856870835
CIC17,fold_5_train,5,3796,0.002352923675023802
CIC17,fold_5_train,6,3446,0.002135978657569026
CIC17,fold_5_train,7,3346,0.0020739943668676613
CIC17,fold_5_train,8,2060,0.0012768763884481117
CIC17,fold_5_train,9,1246,0.0007723242621390034
CIC17,fold_5_train,10,941,0.0005832721754998414
CIC17,fold_5_train,11,418,0.0002590943351317042
CIC17,fold_5_train,12,23,1.4256386861313868e-05
CIC17,fold_5_train,13,14,8.67780069819105e-06
CIC17,fold_5_train,14,7,4.338900349095525e-06
CIC17,fold_5_val,0,335209,0.8311097446984704
CIC17,fold_5_val,1,27655,0.06856719237740097
CIC17,fold_5_val,2,20482,0.05078261559479033
CIC17,fold_5_val,3,14511,0.0359782508981546
CIC17,fold_5_val,4,1646,0.0040810558182318565
CIC17,fold_5_val,5,949,0.0023529295088104687
CIC17,fold_5_val,6,862,0.0021372236423547147
CIC17,fold_5_val,7,836,0.002072759820195524
CIC17,fold_5_val,8,515,0.001276879554307051
CIC17,fold_5_val,9,312,0.0007735658659102911
CIC17,fold_5_val,10,235,0.0005826537772080719
CIC17,fold_5_val,11,104,0.0002578552886367637
CIC17,fold_5_val,12,6,1.4876266652120983e-05
CIC17,fold_5_val,13,3,7.438133326060492e-06
CIC17,fold_5_val,14,2,4.9587555507069944e-06
